Resource Name,Link,Description
Conosca sus derechos  Cuando este confrontado con ICE ,https://www.ilrc.org/community-resources/know-your-rights/know-your-rights-when-confronted-ice-flyer,"Un folleto que resume 5 recordatorios clave sobre sus derechos constitucionales cuando se enfrenta al Servicio de Inmigración y Control de Aduanas (ICE). Todos, independientemente de su estatus migratorio, tienen derechos en este país. Punto./5 recordatorios de sus derechos constitucionales Todos tenemos derechos sin importar su estatus de inmigración."
,,
Que hacer si esta detenido?,https://www.instagram.com/reel/DK0MAhsB7Rf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Radio Jornalera, Communal Press y NDLON ofrecen una guía sobre qué hacer en caso de detención."
Como saber la differencia de una orden Judicial y una orden administrativa ,https://www.instagram.com/reel/DKvjPUbJ4s8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@thekoreanvegan un abogado
Que hacer si ICE llega a sulugar de trabajo?,https://www.instagram.com/reel/DK3khmBO-ZZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Radio Jornalera, Communal Press y NDLON ofrecen una guía sobre qué hacer si ICE se presenta en el trabajo."
